;;Abs corr diff;corr_R2;corr_NR5;CI Var1;CI Var2;% Overlap
MYC;WNT;0.36628476876747856;0.3806865713226509;0.014401802555172299;[0.2079, 0.5305];[-0.0376, 0.0663];0.0
HIPPO;ERBB2;0.33676986960593175;-0.2850400504220118;0.05172981918391995;[-0.4487, -0.1029];[-0.0002, 0.1034];0.0
WNT;ERBB2;0.3114566067060568;-0.39914685037028375;-0.08769024366422692;[-0.5459, -0.2286];[-0.139, -0.0359];0.0
RTK_RAS;SRC;0.27252576604237966;0.2899656809400488;0.01743991489766918;[0.1082, 0.453];[-0.0345, 0.0693];0.0
SRC;ERBB2;0.24290086223843826;-0.18923906452768932;0.05366179771074894;[-0.364, -0.0016];[0.0017, 0.1053];0.0
HIPPO;ESR1;0.23796727187740674;-0.5471032960135559;-0.30913602413614916;[-0.6664, -0.4006];[-0.3554, -0.2614];0.0
TGF.Beta;Hypoxia;0.22657750081570915;-0.1532416585021467;0.07333584231356247;[-0.3314, 0.0355];[0.0215, 0.1248];3.07
NOTCH;ESR1;0.21667536654102854;-0.16455497438823044;0.05212039215279808;[-0.3417, 0.0239];[0.0002, 0.1038];5.32
TGF.Beta;SRC;0.21143748635026252;0.4317942216218647;0.22035673527160218;[0.2656, 0.573];[0.1704, 0.2692];0.89
MYC;SRC;0.2065996715010187;0.2977692328110073;0.09116956130998859;[0.1166, 0.4598];[0.0394, 0.1424];6.15
