;;Abs corr diff;corr_R2;corr_NR5;CI Var1;CI Var2;% Overlap
NK cells activated;Macrophages M0;0.4439737166742183;-0.06510135435915348;0.3788723623150648;[-0.2497, 0.1241];[0.3335, 0.4225];0.0
Macrophages M1;Mast cells activated;0.4056438438755509;0.16648228834843132;-0.2391615555271196;[-0.0219, 0.3434];[-0.2875, -0.1896];0.0
NK cells resting;Macrophages M0;0.37083695471059525;0.1720302129000495;-0.19880674181054575;[-0.0162, 0.3485];[-0.2482, -0.1484];0.0
Dendritic cells activated;Neutrophils;0.3107335447604992;0.2894135709522306;-0.02131997380826861;[0.1076, 0.4525];[-0.0732, 0.0307];0.0
Plasma cells;Eosinophils;0.3047305288025436;0.36044626182558365;0.05571573302304007;[0.1853, 0.5134];[0.0038, 0.1073];0.0
NK cells resting;Dendritic cells activated;0.29365028321010583;-0.4108124152747936;-0.11716213206468779;[-0.5557, -0.2418];[-0.1681, -0.0656];0.0
NK cells activated;Mast cells resting;0.29338778214003197;0.34325534044640255;0.6366431225864345;[0.1663, 0.4988];[0.6047, 0.6665];0.0
Mast cells resting;Eosinophils;0.2874076287224664;-0.4124807311204178;-0.12507310239795136;[-0.557, -0.2437];[-0.1759, -0.0736];0.0
Plasma cells;T cells CD4 memory resting;0.26434417497520535;0.11020190487396497;-0.1541422701012404;[-0.0791, 0.2918];[-0.2044, -0.103];0.0
NK cells activated;Dendritic cells activated;0.26212310182564535;0.36195876843174085;0.09983566660609548;[0.187, 0.5147];[0.0481, 0.151];0.0
Plasma cells;Dendritic cells activated;0.2572123305996916;-0.3442036136812238;-0.08699128308153217;[-0.4996, -0.1673];[-0.1383, -0.0352];0.0
Monocytes;Dendritic cells resting;0.2548811893242452;-0.38867733743252547;-0.1337961481082803;[-0.5372, -0.2168];[-0.1845, -0.0824];0.0
NK cells resting;Eosinophils;0.24879345464389593;0.2894266689959104;0.04063321435201447;[0.1076, 0.4525];[-0.0113, 0.0924];0.0
Mast cells activated;Neutrophils;0.23947916368469538;-0.28591260384951245;-0.04643344016481707;[-0.4495, -0.1038];[-0.0981, 0.0055];0.0
Dendritic cells activated;Mast cells resting;0.23579880859642063;0.30966127220181977;0.07386246360539914;[0.1295, 0.47];[0.022, 0.1253];0.0
NK cells resting;Neutrophils;0.23578794795379757;-0.30673637622168154;-0.07094842826788397;[-0.4675, -0.1263];[-0.1224, -0.0191];0.0
Macrophages M2;Mast cells activated;0.23106208415051288;-0.04383404008050182;0.18722804407001106;[-0.2296, 0.145];[0.1366, 0.2369];1.81
T cells CD4 memory resting;NK cells activated;0.22554327375010222;-0.1445417956777911;0.08100147807231112;[-0.3234, 0.0443];[0.0292, 0.1324];3.33
Dendritic cells activated;Mast cells activated;0.22298751011016094;-0.30268818349613064;-0.07970067338596969;[-0.464, -0.1219];[-0.1311, -0.0279];2.1
T cells gamma delta;Dendritic cells activated;0.2175064950456861;0.29184293308021286;0.07433643803452678;[0.1102, 0.4546];[0.0225, 0.1258];3.61
NK cells activated;Neutrophils;0.21699620075508155;0.26113021527871355;0.04413401452363199;[0.0772, 0.4278];[-0.0078, 0.0959];4.27
T cells CD8;T cells follicular helper;0.2159642863803827;-0.013047206994174434;0.20291707938620826;[-0.2002, 0.1751];[0.1526, 0.2522];4.97
T cells follicular helper;Eosinophils;0.20919064849069546;-0.2557771069020569;-0.04658645841136145;[-0.4231, -0.0715];[-0.0983, 0.0054];6.24
Mast cells activated;Eosinophils;0.20856972628986942;0.22889085096257303;0.020321124672703625;[0.0431, 0.3994];[-0.0317, 0.0722];6.76
Plasma cells;Dendritic cells resting;0.20596714220633772;0.06365286391378856;-0.14231427829254914;[-0.1255, 0.2484];[-0.1928, -0.091];7.82
T cells follicular helper;Neutrophils;0.20536530340376985;0.26412541383030175;0.0587601104265319;[0.0804, 0.4305];[0.0068, 0.1104];7.07
Macrophages M0;Mast cells activated;0.20529721773809845;-0.053192744643517205;-0.25848996238161565;[-0.2385, 0.1358];[-0.3063, -0.2094];6.59
T cells CD8;Macrophages M2;0.20416643761929204;0.18934722150097077;-0.014819216118321252;[0.0017, 0.3641];[-0.0667, 0.0372];8.22
T cells CD4 naive;T cells follicular helper;0.20402937915620126;-0.1611629333460131;-0.36519231250221434;[-0.3386, 0.0273];[-0.4094, -0.3193];4.42
T cells gamma delta;NK cells activated;0.2028832207024629;0.20205698988621826;-0.0008262308162446524;[0.0149, 0.3755];[-0.0528, 0.0511];8.45
