;;Abs corr diff;corr_R2;corr_NR5;CI Var1;CI Var2;% Overlap
NK cells activated;Macrophages M0;0.454090233902421;-0.06510135435915348;0.3889888795432675;[-0.2497, 0.1241];[0.3033, 0.4684];0.0
NK cells resting;Macrophages M0;0.44022377704064963;0.1720302129000495;-0.26819356414060014;[-0.0162, 0.3485];[-0.356, -0.1756];0.0
Mast cells activated;Neutrophils;0.4069874310154799;-0.28591260384951245;0.12107482716596746;[-0.4495, -0.1038];[0.0242, 0.2157];0.0
Macrophages M1;Mast cells activated;0.36871585936821055;0.16648228834843132;-0.20223357101977923;[-0.0219, 0.3434];[-0.2936, -0.1072];0.0
Monocytes;Dendritic cells resting;0.3668754610245581;-0.38867733743252547;-0.021801876407967387;[-0.5372, -0.2168];[-0.1187, 0.0755];0.0
Plasma cells;T cells CD4 memory resting;0.33072668235741076;0.11020190487396497;-0.22052477748344576;[-0.0791, 0.2918];[-0.311, -0.1261];0.0
NK cells resting;Eosinophils;0.32842674348997786;0.2894266689959104;-0.03900007449406743;[0.1076, 0.4525];[-0.1356, 0.0583];0.0
NK cells resting;Dendritic cells activated;0.29614739072219726;-0.4108124152747936;-0.11466502455259636;[-0.5557, -0.2418];[-0.2095, -0.0177];0.0
Dendritic cells activated;Mast cells resting;0.29399185713052206;0.30966127220181977;0.015669415071297696;[0.1295, 0.47];[-0.0816, 0.1126];0.0
Mast cells resting;Eosinophils;0.2883622179292099;-0.4124807311204178;-0.12411851319120785;[-0.557, -0.2437];[-0.2186, -0.0273];0.0
Mast cells activated;Eosinophils;0.28309149393032595;0.22889085096257303;-0.05420064296775291;[0.0431, 0.3994];[-0.1505, 0.0432];0.02
B cells memory;NK cells activated;0.28188402107150196;-0.045700566367353236;-0.3275845874388552;[-0.2314, 0.1432];[-0.4116, -0.238];0.0
Plasma cells;T cells regulatory (Tregs);0.2788025148139508;-0.18976454186126296;0.08903797295268787;[-0.3645, -0.0022];[-0.0082, 0.1846];1.09
NK cells activated;Mast cells resting;0.27623535156933615;0.34325534044640255;0.6194906920157387;[0.1663, 0.4988];[0.5558, 0.6759];0.0
Macrophages M0;Macrophages M2;0.27498718651570575;-0.15999911662907615;-0.4349863031447819;[-0.3375, 0.0285];[-0.5105, -0.3528];0.0
T cells CD8;Macrophages M2;0.2715233675914237;0.18934722150097077;-0.08217614609045293;[0.0017, 0.3641];[-0.1779, 0.0151];2.46
Plasma cells;Dendritic cells activated;0.26506309470980643;-0.3442036136812238;-0.07914051897141737;[-0.4996, -0.1673];[-0.1749, 0.0181];1.47
T cells gamma delta;Dendritic cells activated;0.2647058933162562;0.29184293308021286;0.02713703976395664;[0.1102, 0.4546];[-0.0702, 0.1239];2.62
Plasma cells;Eosinophils;0.2562189657728153;0.36044626182558365;0.10422729605276836;[0.1853, 0.5134];[0.0072, 0.1993];2.77
Plasma cells;Monocytes;0.25433472232741444;-0.254664233753493;-0.00032951142607858094;[-0.4222, -0.0703];[-0.0975, 0.0968];5.22
