;;Abs corr diff;corr_R2;corr_NR5;CI Var1;CI Var2;% Overlap
MYC;WNT;0.36628476876747856;0.3806865713226509;0.014401802555172299;[0.2079, 0.5305];[-0.0376, 0.0663];0.0
HIPPO;ERBB2;0.33676986960593175;-0.2850400504220118;0.05172981918391995;[-0.4487, -0.1029];[-0.0002, 0.1034];0.0
WNT;ERBB2;0.3114566067060568;-0.39914685037028375;-0.08769024366422692;[-0.5459, -0.2286];[-0.139, -0.0359];0.0
RTK_RAS;SRC;0.27252576604237966;0.2899656809400488;0.01743991489766918;[0.1082, 0.453];[-0.0345, 0.0693];0.0
SRC;ERBB2;0.24290086223843826;-0.18923906452768932;0.05366179771074894;[-0.364, -0.0016];[0.0017, 0.1053];0.0
HIPPO;ESR1;0.23796727187740674;-0.5471032960135559;-0.30913602413614916;[-0.6664, -0.4006];[-0.3554, -0.2614];0.0
TGF.Beta;Hypoxia;0.22657750081570915;-0.1532416585021467;0.07333584231356247;[-0.3314, 0.0355];[0.0215, 0.1248];3.07
NOTCH;ESR1;0.21667536654102854;-0.16455497438823044;0.05212039215279808;[-0.3417, 0.0239];[0.0002, 0.1038];5.32
TGF.Beta;SRC;0.21143748635026252;0.4317942216218647;0.22035673527160218;[0.2656, 0.573];[0.1704, 0.2692];0.89
MYC;SRC;0.2065996715010187;0.2977692328110073;0.09116956130998859;[0.1166, 0.4598];[0.0394, 0.1424];6.15
NOTCH;SRC;0.20374116306875545;0.5094829891921012;0.3057418261233458;[0.3558, 0.6363];[0.2579, 0.3521];0.0
ESR1;ERBB2;0.20007178746000956;0.34243975020893413;0.14236796274892458;[0.1654, 0.4981];[0.0911, 0.1929];6.76
TP53;ERBB2;0.19407424663771333;-0.36015491901721813;-0.1660806723795048;[-0.5131, -0.185];[-0.2162, -0.1151];7.83
PI3K;TGF.Beta;0.19118786330675352;0.13196936873889897;-0.059218494567854565;[-0.0571, 0.3119];[-0.1108, -0.0073];11.79
HIPPO;MYC;0.18558975227253066;0.22406161283209114;0.03847186055956048;[0.038, 0.3951];[-0.0135, 0.0902];12.79
Cell_Cycle;SRC;0.17312038033246513;-0.02043259894283798;0.15268778138962716;[-0.2073, 0.1679];[0.1016, 0.203];16.17
HIPPO;NRF2;0.16935318217008058;-0.21187879683480768;-0.04252561466472709;[-0.3843, -0.0252];[-0.0943, 0.0094];17.54
HIPPO;TGF.Beta;0.16666680582226798;-0.13439245580150125;0.03227435002076673;[-0.3141, 0.0547];[-0.0197, 0.0841];18.67
WNT;ESR1;0.16471574989072124;-0.38187066115697266;-0.21715491126625142;[-0.5315, -0.2092];[-0.2661, -0.1671];15.62
WNT;SRC;0.1638004694400791;0.4523922122886937;0.2885917428486146;[0.2893, 0.59];[0.2403, 0.3355];13.22
Cell_Cycle;MYC;0.16073652220598839;0.2795772459990214;0.11884072379303302;[0.097, 0.444];[0.0673, 0.1697];19.31
Hypoxia;ERBB2;0.1588419800663443;-0.20772545819958554;-0.04888347813324124;[-0.3806, -0.0209];[-0.1006, 0.0031];20.78
NOTCH;ERBB2;0.15501536840929553;-0.08242586875827747;0.07258949965101807;[-0.266, 0.1069];[0.0207, 0.1241];22.09
TGF.Beta;ERBB2;0.1543675806618641;-0.0075663110566553575;-0.16193389171851946;[-0.195, 0.1804];[-0.2121, -0.1109];21.41
MYC;ESR1;0.15373684737859178;-0.22709340517770166;-0.07335655779910989;[-0.3978, -0.0412];[-0.1248, -0.0215];22.23
MYC;ERBB2;0.1457185339455753;-0.2870369287673235;-0.1413183948217482;[-0.4505, -0.105];[-0.1919, -0.09];24.09
RTK_RAS;WNT;0.14171454593781288;0.14433450399894432;0.0026199580611314275;[-0.0446, 0.3233];[-0.0493, 0.0546];26.6
RTK_RAS;ERBB2;0.13772410695235743;-0.2899844046332286;-0.15226029768087118;[-0.453, -0.1082];[-0.2026, -0.1011];26.83
Hypoxia;SRC;0.1339347514313694;0.15166369701797472;0.01772894558660533;[-0.0371, 0.33];[-0.0342, 0.0696];28.3
RTK_RAS;TP53;0.13331655303583118;-0.08390263102550277;0.049413922010328404;[-0.2674, 0.1054];[-0.0025, 0.1011];27.8
