submitter,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
MB-0000,0.008204471,0.060610027,0.120721132,0.0,0.0,0.205541715,0.031249773,0.098817691,0.0,0.057094859,0.0,0.069473211,0.038335833,0.062223072,0.011166549,0.0,0.0,0.070240324,0.089153315,0.0,0.0,0.077168026
MB-0002,0.069373277,0.0,0.208344701,0.0,0.196418436,0.0,0.0,0.0,0.0,0.133225343,0.036752587,0.0,0.0,0.013539905,0.0,0.08765186,0.0,0.046385245,0.128201175,0.0,0.048723637,0.031383834
MB-0005,0.0,0.06434305,0.066265798,0.066699779,0.0,0.167434748,0.103640709,0.0,0.095029331,0.0,0.0,0.082640223,0.04021441,0.018142933,0.042160014,0.0,0.005946011,0.050018891,0.161688991,0.0,0.0,0.035775113
MB-0006,0.0,0.103456099,0.000760353,0.179957783,0.143445465,0.0,0.146302321,0.0,0.0,0.0,0.080316643,0.0,0.034068968,0.061294405,0.0,0.025187666,0.02094176,0.006772782,0.124101605,0.0,0.073394149,0.0
MB-0008,0.052182516,0.0,0.087170011,0.0,0.0,0.105194567,0.06457628,0.089691941,0.054062337,0.0,0.0,0.15484409,0.068498583,0.127331531,0.024370884,0.0,0.0,0.0,0.143952031,0.0,0.028125227,0.0
MB-0010,0.098868553,0.0,0.038915074,0.046230754,0.0,0.045777159,0.067479101,0.071379868,0.022438318,0.0,0.160565586,0.0,0.0,0.169642736,0.053780749,0.0,0.049469181,0.03171051,0.093227125,0.000188337,0.050326948,0.0
MB-0014,0.0,0.163988306,0.048434799,0.048288589,0.128421891,0.0,0.108529598,0.025210916,0.0,0.048196169,0.082978127,0.0,0.0,0.0,0.052482942,0.017146847,0.096063787,0.0,0.0,0.110927622,0.0,0.069330408
MB-0020,0.0,0.064645398,0.102728813,0.0,0.211805904,0.0,0.0,0.068273627,0.0,0.103034776,0.0,0.064507265,0.0,0.14805856,0.014130231,0.0,0.0,0.075778175,0.008350554,0.014482777,0.097915085,0.026288836
MB-0022,0.0,0.106352052,0.0,0.134733332,0.0,0.0,0.0,0.188040512,0.0,0.0,0.110895102,0.032883634,0.028349389,0.088744382,0.033497906,0.038487652,0.008944486,0.065258958,0.085539263,0.0,0.018101215,0.060172115
MB-0025,0.0,0.030083257,0.0,0.069247131,0.197183168,0.0,0.033843273,0.074711631,0.07314618,0.033046361,0.086355335,0.0,0.054619043,0.0,0.091757067,0.046228079,0.026355933,0.041978754,0.015776827,0.090922303,0.034745658,0.0
